family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00072,EVGA_ECOLI/3-114,A0A0X3XPV6_9ACTN/3-113,112,111,0.1964,1,111,0.9541,0.9369,0.9455,23.31,0.982,0.982,0.982,356.3
PF07686,BTNLA_MOUSE/37-146,CD2_RAT/23-120,110,98,0.1858,1,95,0.75,0.1579,0.2609,20.05,0.5294,0.3789,0.4417,689.22
PF00595,DEGQ_ECOLI/257-346,ZO1_MOUSE/23-107,90,85,0.1444,1,85,1.0,0.3529,0.5217,15.52,0.7867,0.6941,0.7375,374.39
PF00043,GSTM3_HUMAN/108-196,GST28_SCHMA/104-195,89,92,0.1522,1,86,1.0,0.186,0.3137,55.98,0.6588,0.6512,0.655,464.21
PF00072,DEGU_BACSU/6-118,MRKE_KLEPN/60-170,113,111,0.1947,1,111,0.8739,0.8739,0.8739,23.64,1.0,1.0,1.0,359.48
PF00043,YIBF_ECOLI/96-192,GSTA2_MOUSE/99-192,97,94,0.14,1,91,0.1818,0.0879,0.1185,16.99,0.3692,0.2637,0.3077,368.97
PF07686,JAML_HUMAN/25-136,FCAMR_HUMAN/65-171,112,107,0.1053,1,105,0.9375,0.1429,0.2479,22.27,0.5667,0.4857,0.5231,349.25
PF07686,VSIG1_CHICK/26-136,GPA33_HUMAN/25-138,111,114,0.1983,1,104,0.6147,0.6442,0.6291,23.76,0.6091,0.6442,0.6262,377.95
PF00089,DEGS_ECOLI/62-244,PRTC_STRGR/205-383,183,179,0.1198,1,145,0.7297,0.1862,0.2967,61.0,0.4014,0.4069,0.4041,424.01
PF00041,TENA_HUMAN/1257-1341,FINC_RAT/1267-1352,85,86,0.1839,1,82,0.8395,0.8293,0.8344,13.78,0.8706,0.9024,0.8862,371.22
PF00583,O64737_ARATH/24-151,YNAD_BACSU/18-140,128,123,0.1343,1,117,0.6226,0.2821,0.3882,29.31,0.7619,0.547,0.6368,368.44
PF00027,Q6AM05_DESPS/44-130,Q6MHS5_BDEBA/141-229,87,89,0.172,1,83,0.8148,0.7952,0.8049,14.46,0.869,0.8795,0.8743,357.97
PF00583,Q20220_CAEEL/106-219,SPSD_BACSU/155-271,114,117,0.1429,1,105,0.913,0.2,0.3281,24.83,0.7711,0.6095,0.6809,362.72
PF00104,G0MLT9_CAEBE/88-303,A8WPX3_CAEBR/169-383,216,215,0.1096,1,203,0.0,0.0,0.0,86.4,0.7371,0.7734,0.7548,347.25
PF07686,HHLA2_HUMAN/226-330,CD2_RAT/23-120,105,98,0.1161,1,91,0.0,0.0,0.0,19.22,0.6029,0.4505,0.5157,386.65
PF00018,ABL_DROME/193-240,RASA1_BOVIN/282-330,48,49,0.1176,1,46,1.0,0.1957,0.3273,4.44,0.5957,0.6087,0.6022,437.84
PF07686,MPZL2_HUMAN/30-143,Q3LFS9_MOUSE/38-141,114,104,0.1053,1,104,1.0,0.1731,0.2951,22.39,0.6129,0.5481,0.5787,343.07
PF00076,YME2_YEAST/200-266,SGN1_YEAST/66-135,67,70,0.1972,1,66,0.0,0.0,0.0,8.81,0.8485,0.8485,0.8485,355.07
PF00018,NCK1_HUMAN/8-53,STE6_SCHPO/6-52,46,47,0.1875,1,45,1.0,0.1556,0.2692,4.07,0.8444,0.8444,0.8444,366.56
PF00583,HLS1L_ARATH/34-168,F7GKG6_MACMU/11-128,135,118,0.1469,1,110,0.7895,0.4091,0.5389,30.55,0.7333,0.6,0.66,372.16
